german,english1,english2
"Was macht dich so glücklich , Tom ?","What makes you happy , Tom ?","What makes you so happy , Tom ?"
Tom wollte ein sparsames Auto .,Tom wanted an economy car .,Tom wanted a very economical car .
Der Keim der Revolution ist Repression .,The seed of revolution is repression .,The germ of the revolution is repression .
Möchtest du etwas Obst ?,Would you like some fruit ?,Would you like some fruit ?
"Am wenigsten gefällt es mir , dass ich auswendig Texte vortragen muss .",What I hate most of all is having to recite texts from memory .,The least I like is that I have to read texts by heart .
"Ich will meinen Kindern alles kaufen , was ich nie hatte .",I want to buy my children everything I never had .,I want to buy my kids everything I never had .
Sie traut dem Arzt nicht mehr .,She doesn 't trust the doctor any more .,She no longer trusts the doctor .
"Es ist faszinierend sie zu sehen , wie sie hinter einer Kakerlake her rennt .",It 's exciting to watch her run after a cockroach .,It 's fascinating to see her running after a cockroach .
Die Liebe ist das Licht des Lebens . In der Ehe kommt die Stromrechnung .,Love is the light of our lives . The marriage brings us the note .,Love is the light of life . In marriage comes the electricity bill .
Sie hasst ihre Eltern .,She hates her parents .,She hates her parents .
Diese Studentin ist Amerikanerin .,This student is American .,This student is American .
Hast du dich gestern rasiert ?,Did you shave yesterday ?,Did you shave yesterday ?
Sie erneuerte die Erde in dem Blumentopf .,She renewed the soil in the flower pot .,It renewed the earth in the flower pot .
Wir machen keine Fehler .,We don 't make mistakes .,We 're not making any mistakes .
Sie hat mediale Kräfte .,She has psychic abilities .,She has media powers .
Tom entschuldigte sich und legte dann auf .,Tom apologized and then hung up .,Tom apologized and then hung up .
"Das ist das Wort , was ich ersetzen will .",This is the word which I would like to replace .,That 's the word I want to replace .
Japan liegt auf der Nordhalbkugel .,Japan is located in the Northern Hemisphere .,Japan is on the northern hemisphere .
"Sie brachten Mary dazu , alles zu erzählen .",They made Mary tell everything .,They made Mary tell everything .
Morgen kriegen wir unser Zeugnis .,Tomorrow we 'll get our proof .,We 'll get our testimony tomorrow .
"Als die Eltern von Meva haben wir Dresden besucht , um ihren zwanzigsten Geburtstag zu feiern . Wir nutzten die Gelegenheit , um diese herrliche Stadt zu entdecken .",As Meva 's parents we visited Dresden to celebrate her twentieth birthday . We took took the opportunity to explore this beautiful city .,As the parents of Meva we visited Dresden to celebrate their 20th birthday . We took the opportunity to discover this beautiful city .
Toms Zimmer ist am Ende des Flures auf der rechten Seite .,"Tom 's room is at the end of the hall , on the right .",Tom 's room is at the end of the hall on the right .
"Eines der Bücher ist in französischer , das andere in deutscher Sprache .","One of the books is in French , and the other is in German .",One of the books is in French and the other is in German .
Verliere nicht diesen Schlüssel !,Don 't lose this key .,Don 't lose that key !
Das wird höchstens zehn Pesos kosten .,"At most , it 'll cost ten pesos .",This will cost a maximum of ten pesos .
Er hat Muffins gebacken .,He baked muffins .,He baked muffins .
Tom schien mich zu hassen .,Tom seemed to hate me .,Tom seemed to hate me .
Worüber will Tom mit Maria reden ?,What does Tom want to talk to Mary about ?,What does Tom want to talk to Maria about ?
Ich bin Journalist .,I 'm a journalist .,I 'm a journalist .
Wir brauchen in dem Laden nicht mehr einzukaufen .,We don 't have to buy from that store anymore .,We don 't need to go to the store anymore .
Alle haben sich gestern über mich lustig gemacht .,Everyone laughed at me yesterday .,Everyone made fun of me yesterday .
Tom fing an zu schnarchen .,Tom began to snore .,Tom started snoring .
Machen Sie sich über die Vergangenheit keine Gedanken !,Don 't worry about the past .,Don 't worry about the past !
Das ist eine genaue Kopie des Originals .,This is an exact copy of the original .,This is an exact copy of the original .
Ich habe es dir vor zwei Tagen geschickt .,I sent it to you two days ago .,I sent it to you two days ago .
Ich kann niemandem helfen .,I can 't help anyone .,I can 't help anyone .
Sie schloss ihr Studium mit Auszeichnung ab .,She graduated with honors .,= = References = = = = External links = =
Maria ist genauso hübsch wie Elke .,Mary is as pretty as Alice .,Maria is as beautiful as Elke .
"Tom ließ sich von Mary scheiden , nachdem die Kinder die Hochschule verlassen hatten .",Tom divorced Mary after the children graduated from college .,Tom divorced Mary after the children had left the university .
Tom öffnete das Fenster einen Spaltbreit .,Tom opened the window a crack .,Tom opened the window a crevice .
Sie liefen herum .,They walked around .,They were walking around .
Ich habe einen afro @-@ amerikanischen Nachbarn .,I have an African @-@ American neighbor .,I have an African @-@ American neighbor .
Das letzte Mal habe ich Tom in Boston gesehen .,The last time I saw Tom was in Boston .,Last time I saw Tom in Boston .
Tom ging zuerst .,Tom went first .,Tom left first .
Ich sinniere über eine Lösung .,I 'm trying to figure out a solution .,I 'm making sense of a solution .
Entschuldigen Sie . Sprechen Sie Englisch ?,Excuse me . Do you speak English ?,"Excuse me , do you speak English ?"
Tom betrog .,Tom cheated .,Tom cheated .
"Der Schuhmacher sagte , dass die Schuhe zu alt zum Reparieren seien .",The shoemaker said the shoes were too old to repair .,The shoemaker said the shoes were too old to fix .
Wenn du es könntest - tätest du ' s ?,"If you could do it , would you do it ?","If you could , would you ?"
Du musst dich an die Regeln halten .,You have to follow the rules .,You have to follow the rules .
Die Prinzessin zog die Handschuhe aus .,The princess removed her gloves .,The princess took off the gloves .
Tom braucht zwei Fahrkarten nach Boston .,Tom needs two tickets to Boston .,Tom needs two tickets to Boston .
Ich möchte dir meine schöne Stadt zeigen .,I would like to show you my beautiful city .,I want to show you my beautiful city .
Diese CD kostet 10 Dollar .,This CD costs $ 10 .,This CD costs 10 dollars .
Sie hat ein Cabrio .,She has a convertible .,She 's got a convertible .
"Ich überlege , ins Ausland zu gehen .",I am thinking of going abroad .,I 'm thinking of going abroad .
Keiner ist in Sicht .,No one 's in sight .,No one 's in sight .
Ich verlache Tom .,I am laughing at Tom .,I 'm wasting Tom .
Ist es ein Hirsch ?,Is it a deer ?,Is it a deer ?
In dem Anzug siehst du gut aus .,You look good in that suit .,You look good in that suit .
Möchtest du etwas Süßes ?,Do you want some candy ?,Would you like something sweet ?
Bring Wein .,Bring wine .,Bring wine .
Die Theorie geht auf einen achtundzwanzigjährigen Physiker zurück .,This theory originated with a twenty @-@ eight @-@ year @-@ old physicist .,The theory is based on a twenty @-@ eight @-@ year @-@ old physicist .
Frauen wollen gewöhnlich nicht mit mir reden .,Women don 't usually want to talk with me .,Women don 't usually want to talk to me .
"Ich lebe in einem Land , wo der Preis von einem Liter Benzin niedriger als der von einem Liter Wasser ist .",I live in a country where the cost of a liter of gasoline is cheaper than the cost of a liter of water .,I live in a country where the price of a litre of petrol is lower than that of a litre of water .
Ich habe im Zirkus eine grandiose Tiernummer gesehen .,I saw a marvelous animal act at the circus .,I saw a great animal number in the circus .
Wer hat Tom benachrichtigt ?,Who notified Tom ?,Who notified Tom ?
Sie stimmte einer Befragung durch uns zu .,She agreed to give us an interview .,She agreed to an interview with us .
"Das Radikal im chinesischen Schriftzeichen für "" gut "" ist das Schriftzeichen für "" Frau "" .","The radical in the chinese character for "" good "" is the character for "" woman . ""","The radical in the Chinese character for "" good "" is the character for "" woman . """
"Maria sagte Tom , dass sie glaube , Johannes habe unrecht .",Mary told Tom that she thought John was mistaken .,Mary told Tom that she thought John was wrong .
Tom muss es nicht sofort tun .,Tom doesn 't have to do that right away .,Tom doesn 't have to do it right now .
"Es verlangte Mut , ganz alleine über den Pazifik zu segeln .",It took courage to sail across the Pacific single @-@ handed .,It required courage to sail all alone over the Pacific .
Sie hat einen kleinen schwarzen Hund .,"She has a small , black dog .",She 's got a little black dog .
Schreibe verständlich !,Write clearly !,Make it clear !
Sie hörten drei Minuten später auf .,They stopped three minutes later .,They stopped three minutes later .
Maria wohnt bei ihren Eltern .,Mary lives with her parents .,Maria lives with her parents .
Ich hätte etwas Kurzärmeliges anziehen sollen !,I should 've worn short sleeves .,I should have put on something short @-@ sleeved !
Was machst du übrigens so ?,"By the way , what do you do ?","What are you doing , by the way ?"
"Ist Rosa nicht die bezauberndste Farbe auf der Welt ? Ich liebe es , doch kann ich es nicht tragen . Rothaarige Menschen können kein Rosa tragen , noch nicht einmal in der Phantasie .","Isn 't pink the most bewitching color in the world ? I love it , but I can 't wear it . Redheaded people can 't wear pink , not even in imagination .","Isn 't Rosa the most charming color in the world ? I love it , but I can 't wear it . Red @-@ haired people can 't wear a pink , not even in the imagination ."
Ich wohne in Kakogawa .,I live in Kakogawa .,I live in Kakogawa .
Er nimmt Honig statt Zucker .,He takes honey instead of sugar .,He takes honey instead of sugar .
Das Baby schien ruhig zu schlafen .,The baby appeared to be sleeping quietly .,The baby seemed to sleep quietly .
Das Raumschiff sollte nie wieder zur Erde zurückkehren .,The spaceship was never to return to the earth .,The spaceship should never return to Earth .
Tom trug in jeder Hand einen Koffer .,"Tom was carrying two suitcases , one in each hand .",Tom was wearing a suitcase in every hand .
Zeig sie mir .,Show them to me .,Show me .
"Ich habe aufgehört zu zählen , wie oft sich Tom darüber beschwert hat .",I can 't count the number of times Tom has complained about that .,I stopped counting how many times Tom complained about it .
Wir haben keinen Tee mehr .,We 're out of tea .,We 're out of tea .
"Sie brauchte den ganzen Nachmittag , um die Arbeit zu erledigen .",She needed the entire afternoon to complete the work .,It took her all afternoon to do the work .
Eine Antwort hatte niemand .,Nobody had an answer .,No one had an answer .
Wann hast du dieses Messer das letzte Mal scharf gemacht ?,When did you last sharpen this knife ?,When was the last time you hit that knife ?
